text_a	text_b	label
our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.	menu	2
i went back (with my cold soups) they said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.	food	2
i went back (with my cold soups) they said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.	ambience	0
server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.	staff	1
server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.	place	2
and there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.	place	2
and there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.	food	2
and there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.	miscellaneous	2
and there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.	staff	0
went for an early v-day dinner, only to be highly disappointed by the service.	food	2
went for an early v-day dinner, only to be highly disappointed by the service.	service	0
before our food arrived i asked our waitress if we could be moved and she just stared blankly at me.	food	2
before our food arrived i asked our waitress if we could be moved and she just stared blankly at me.	staff	0
the service is excellent -- the staff is attentive and the waitress was well-informed about the menu.	service	1
the service is excellent -- the staff is attentive and the waitress was well-informed about the menu.	staff	1
the service is excellent -- the staff is attentive and the waitress was well-informed about the menu.	menu	2
i still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.	price	0
i still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.	food	2
it is the only all austrian wine list in the country and the waitress gladly broke it down for me, so i could find just the right wine for my meal.	food	2
it is the only all austrian wine list in the country and the waitress gladly broke it down for me, so i could find just the right wine for my meal.	staff	1
its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.	place	1
its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.	food	2
the final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.	staff	0
the final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.	food	2
the final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.	service	0
worst margaritas in town,if you are going to order a battle of (white wine)they served hot.	food	0
worst margaritas in town,if you are going to order a battle of (white wine)they served hot.	service	2
they served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.	food	2
they served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.	staff	0
after requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.	staff	0
after requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.	place	2
after requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.	food	2
the place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.	place	0
the place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.	menu	2
although the service can be a bit brusque at times, the food is always good, hearty and hot.	service	0
although the service can be a bit brusque at times, the food is always good, hearty and hot.	food	1
the food despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.	food	1
the food despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.	menu	2
cornelia street looks like a broadway set for west side story and the inside of po is so cool quaint you really can't top the setting for a romantic dinner in nyc.	ambience	2
cornelia street looks like a broadway set for west side story and the inside of po is so cool quaint you really can't top the setting for a romantic dinner in nyc.	food	1
be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer dj make the wait more than bearable.	place	2
be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer dj make the wait more than bearable.	staff	0
as if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)	miscellaneous	2
as if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)	food	2
as if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)	staff	0
we started with the guacamole and this is by far the best i've ever had bar none.	food	1
we started with the guacamole and this is by far the best i've ever had bar none.	place	2
if you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.	food	1
if you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.	menu	2
the waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.	staff	0
the waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.	food	2
the waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.	miscellaneous	2
before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.	staff	0
before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.	miscellaneous	2
the tables are in the back and the ambience was less to be desired.	place	2
the tables are in the back and the ambience was less to be desired.	ambience	0
while service is still ok, the food has been not up to par on my last few visits.	service	1
while service is still ok, the food has been not up to par on my last few visits.	food	0
after the wine experience, i actually expected worse than what was served.	food	2
after the wine experience, i actually expected worse than what was served.	service	0
i dined in the main dining room which is surrounded by authentic spanish decorations.	place	2
i dined in the main dining room which is surrounded by authentic spanish decorations.	ambience	1
our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.	staff	0
our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.	food	2
on ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.	miscellaneous	0
on ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.	place	2
the food at cafe asean is to die for, and the prices are unmatchable.	food	1
the food at cafe asean is to die for, and the prices are unmatchable.	price	0
the scene the entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.	miscellaneous	1
the scene the entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.	place	0
the scene the entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.	food	2
it also has great ice cream and spumoni ices.	food	1
it also has great ice cream and spumoni ices.	miscellaneous	2
however, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.	food	1
however, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.	miscellaneous	0
however, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.	service	0
the only negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.	staff	0
the only negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.	miscellaneous	2
sometimes, the take-out and seating lines can be long, but the staff help move things along.	food	2
sometimes, the take-out and seating lines can be long, but the staff help move things along.	miscellaneous	2
sometimes, the take-out and seating lines can be long, but the staff help move things along.	staff	1
i went to sushiden on a friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.	place	0
i went to sushiden on a friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.	miscellaneous	2
the decor has been updated to a full blown restaurant but the quality and the quantity hasn't changed.	ambience	1
the decor has been updated to a full blown restaurant but the quality and the quantity hasn't changed.	miscellaneous	0
a+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).	staff	0
a+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).	miscellaneous	2
the food regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.	food	1
the food regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.	place	2
unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.	food	2
unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.	service	0
unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.	ambience	2
they expanded the seating with a cozy new back section, added some great new dishes (i had the most fantastic j erk shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and mac jack!)	place	2
they expanded the seating with a cozy new back section, added some great new dishes (i had the most fantastic j erk shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and mac jack!)	food	1
they expanded the seating with a cozy new back section, added some great new dishes (i had the most fantastic j erk shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and mac jack!)	staff	1
not to mention that the busboy spilled 2 glasses of water on my back and the manager was nowhere to be seen.	staff	0
not to mention that the busboy spilled 2 glasses of water on my back and the manager was nowhere to be seen.	food	2
smiling servers quiz diners with movie trivia, but forget to fill their water glasses.	staff	1
smiling servers quiz diners with movie trivia, but forget to fill their water glasses.	price	2
smiling servers quiz diners with movie trivia, but forget to fill their water glasses.	miscellaneous	2
the waiter was miffed when we decided to order dessert (and i must say we were eating the courses as they arrived, no lingering).	staff	0
the waiter was miffed when we decided to order dessert (and i must say we were eating the courses as they arrived, no lingering).	food	2
heck even if they had awful service and atmosphere i would still come to this place for their dumplings, luckly that is not the case.	service	0
heck even if they had awful service and atmosphere i would still come to this place for their dumplings, luckly that is not the case.	ambience	0
heck even if they had awful service and atmosphere i would still come to this place for their dumplings, luckly that is not the case.	food	1
chef anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.	staff	1
chef anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.	miscellaneous	2
the menu features classic french bistro fare, like steamed mussels with french fries and hangar steak with a green peppercorn sauce.	menu	2
the menu features classic french bistro fare, like steamed mussels with french fries and hangar steak with a green peppercorn sauce.	food	1
had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.	food	2
had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.	place	1
the food was served promptly and was really hot.	food	1
the food was served promptly and was really hot.	service	2
the kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.	place	1
the kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.	service	2
the kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.	staff	1
the kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.	food	2
i had been to blue fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).	food	2
i had been to blue fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).	ambience	1
the bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.	service	0
the bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.	food	2
the atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.	ambience	1
the atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.	place	0
we recently had brunch at this establishment with two other couples and i have to say i was majorly dissapointed with the service and how we were treated.	food	2
we recently had brunch at this establishment with two other couples and i have to say i was majorly dissapointed with the service and how we were treated.	service	0
although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.	staff	1
although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.	food	0
their desserts were limited - i mean really limited to 2 items (nothing like the online menu).	food	0
their desserts were limited - i mean really limited to 2 items (nothing like the online menu).	menu	2
my group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.	food	2
my group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.	service	0
bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).	staff	0
bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).	food	2
perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.	staff	2
perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.	service	0
the food at parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices.	food	1
the food at parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices.	miscellaneous	0
the food at parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices.	price	0
there is actually space to breathe and the decor sets the tone for an intimate dinner.	place	2
there is actually space to breathe and the decor sets the tone for an intimate dinner.	ambience	1
there is actually space to breathe and the decor sets the tone for an intimate dinner.	food	1
the atmosphere was really nice and inviting but our waiter was awful!	ambience	1
the atmosphere was really nice and inviting but our waiter was awful!	staff	0
i always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu.	staff	1
i always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu.	menu	2
the decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.	ambience	1
the decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.	service	1
the decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.	staff	0
i waited 15 minutes for the waiter to take the bill from me and finally i got fed up with him walking past our table i had to start waving the bill in the air and finally some other waitress took our bill.	staff	0
i waited 15 minutes for the waiter to take the bill from me and finally i got fed up with him walking past our table i had to start waving the bill in the air and finally some other waitress took our bill.	ambience	2
yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.	service	0
yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.	food	2
considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.	price	2
considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.	menu	2
considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.	food	2
considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.	miscellaneous	1
it was practically impossible to get the waitstaff's attention to order another bottle of wine.	staff	0
it was practically impossible to get the waitstaff's attention to order another bottle of wine.	food	2
after spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.	food	2
after spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.	staff	0
after spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.	miscellaneous	2
after spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.	place	2
friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!	staff	1
friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!	miscellaneous	2
at our table we didn't get any bread until 30 minutes into the seating, which may i emphasize the waiter took really long to come to our table, about 20 minutes.	place	2
at our table we didn't get any bread until 30 minutes into the seating, which may i emphasize the waiter took really long to come to our table, about 20 minutes.	staff	0
recently i purchased a dish to go, and found that all of my meal contained just one large piece of ginger root.	food	2
recently i purchased a dish to go, and found that all of my meal contained just one large piece of ginger root.	miscellaneous	0
the numbness in your lower legs from sitting on old wood chairs is more than compensated by the wonderful food.	miscellaneous	0
the numbness in your lower legs from sitting on old wood chairs is more than compensated by the wonderful food.	food	1
we were able to reserve a spot at the chef tasting bar with morimoto who actually called in sick that night, but we were still charged full price.	place	1
we were able to reserve a spot at the chef tasting bar with morimoto who actually called in sick that night, but we were still charged full price.	price	0
went here for a casual sunday night dinner at 7:45pm; dinner was served at 10:15pm!	miscellaneous	2
went here for a casual sunday night dinner at 7:45pm; dinner was served at 10:15pm!	service	0
then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested soy milk.	staff	0
then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested soy milk.	food	2
i thought i'd give the new place a try since it had an expanded menu and a more legit look.	place	2
i thought i'd give the new place a try since it had an expanded menu and a more legit look.	menu	1
*there is a pre-theatre dinner menu for early diners that is of great value.	menu	1
*there is a pre-theatre dinner menu for early diners that is of great value.	price	2
the prixe fix menu was a deal to boost downtown restaurants, atleast we didn't pay the full price.	menu	1
the prixe fix menu was a deal to boost downtown restaurants, atleast we didn't pay the full price.	price	0
the steak au poivre certainly lives up to its lofty reputation, but it shuoldn't overshadow many of the other delicacies on the menu, such as the crab cakes and the frisee salad.	food	1
the steak au poivre certainly lives up to its lofty reputation, but it shuoldn't overshadow many of the other delicacies on the menu, such as the crab cakes and the frisee salad.	menu	2
waiter was a strange bird and when told we wanted to enjoy our dining experience and not be rushed through dinner, he assured us it takes 30 minutes to get entrees once food was ordered.	staff	0
waiter was a strange bird and when told we wanted to enjoy our dining experience and not be rushed through dinner, he assured us it takes 30 minutes to get entrees once food was ordered.	food	1
this is not haute cuisine, but that' part of what i love about it - it has an honest, intimate feel with no pretensions, just like eating in an italian family's home.	food	0
this is not haute cuisine, but that' part of what i love about it - it has an honest, intimate feel with no pretensions, just like eating in an italian family's home.	miscellaneous	1
the food was so-so and you would think it was a french resturant, the portions were so tiny.	food	2
the food was so-so and you would think it was a french resturant, the portions were so tiny.	miscellaneous	0
eventually another waiter cleaned up the table and allowed us to sit there.	staff	1
eventually another waiter cleaned up the table and allowed us to sit there.	miscellaneous	2
however the hostess completely ignored us, we waited 40 min at the bar (even with reservation), our waitress was incredibly uninterested in us (never even offered dessert menus) and the somelier could have taken a look at the label before he made a mistake about his favorite wine.	staff	0
however the hostess completely ignored us, we waited 40 min at the bar (even with reservation), our waitress was incredibly uninterested in us (never even offered dessert menus) and the somelier could have taken a look at the label before he made a mistake about his favorite wine.	place	2
however the hostess completely ignored us, we waited 40 min at the bar (even with reservation), our waitress was incredibly uninterested in us (never even offered dessert menus) and the somelier could have taken a look at the label before he made a mistake about his favorite wine.	miscellaneous	2
seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).	food	2
seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).	service	1
small price to pay to have dinner on a saturday night in downtown manhattan.	price	1
small price to pay to have dinner on a saturday night in downtown manhattan.	food	2
the scene flanked by a diner-style bar on one side and glass cases of sweets on the other, general store resembles a cozy mom-and-pop rest stop on the way through pennsylvania dutch country--minus the cheesy gift shop.	miscellaneous	1
the scene flanked by a diner-style bar on one side and glass cases of sweets on the other, general store resembles a cozy mom-and-pop rest stop on the way through pennsylvania dutch country--minus the cheesy gift shop.	place	2
since it's a small place, it's best to get there early for dinner as the wait can be quite long if you don't make a reservation.	service	0
since it's a small place, it's best to get there early for dinner as the wait can be quite long if you don't make a reservation.	miscellaneous	2
the interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.	place	1
the interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.	food	2
the prices are incredibly reasonable, especially considering the huge portions - by noodle soup could have fed both my husband and myself.	miscellaneous	1
the prices are incredibly reasonable, especially considering the huge portions - by noodle soup could have fed both my husband and myself.	food	2
there is a huge line, usually a 45 minute wait; they take no reservations and no tables of more than five people.	service	2
there is a huge line, usually a 45 minute wait; they take no reservations and no tables of more than five people.	miscellaneous	0
there is a huge line, usually a 45 minute wait; they take no reservations and no tables of more than five people.	place	0
the pizzas are a must try, hence the name.	food	1
the pizzas are a must try, hence the name.	miscellaneous	2
the situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.	food	1
the situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.	price	2
i went there with family and even though we had reservations, we were seated 30 minutes late, the food took 45 minutes to arrive and when i got the wrong order, i had a hard time trying to find the server.	miscellaneous	2
i went there with family and even though we had reservations, we were seated 30 minutes late, the food took 45 minutes to arrive and when i got the wrong order, i had a hard time trying to find the server.	food	2
i went there with family and even though we had reservations, we were seated 30 minutes late, the food took 45 minutes to arrive and when i got the wrong order, i had a hard time trying to find the server.	staff	0
the wait was much shorter than the hostess quoted, which was great.	service	1
the wait was much shorter than the hostess quoted, which was great.	staff	2
though the menu is brief, entrees range from a deeply satisfying, wintry seared calf's liver with oven-dried tomatoes to a much lighter striped bass drizzled with textbook perfect beurre blanc.	menu	2
though the menu is brief, entrees range from a deeply satisfying, wintry seared calf's liver with oven-dried tomatoes to a much lighter striped bass drizzled with textbook perfect beurre blanc.	food	1
when we got our food, the waitress barely said a word as she placed our take-out on the table and grabbed the check.	food	2
when we got our food, the waitress barely said a word as she placed our take-out on the table and grabbed the check.	staff	0
when we got our food, the waitress barely said a word as she placed our take-out on the table and grabbed the check.	price	2
dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all (including getting water) and then another 45 minutes to get a burger (which admittedly was good).	service	0
dropped in for a quick bite with a friend -- like the previous reviewer it took more than 15 minutes for any kind of service at all (including getting water) and then another 45 minutes to get a burger (which admittedly was good).	food	2
however, it takes ages to get seated (even with a reservation), and the waiters don't seem very knowledgeable about the menu (or receptive to questions).	miscellaneous	2
however, it takes ages to get seated (even with a reservation), and the waiters don't seem very knowledgeable about the menu (or receptive to questions).	staff	0
the only complaint i have is that the tables for 2 along the booth are very close together so it wasn't as romantic a dinner as we wanted but all in all, we were in our own world, more like in heaven.	place	2
the only complaint i have is that the tables for 2 along the booth are very close together so it wasn't as romantic a dinner as we wanted but all in all, we were in our own world, more like in heaven.	food	0
ok the manager did stand at the bar the whole time looking like his wife left him, he lost all his money at the track and had been drinking the rest of the day.	staff	0
ok the manager did stand at the bar the whole time looking like his wife left him, he lost all his money at the track and had been drinking the rest of the day.	place	2
we complained to our waiter serveral times about this and the stares continued and to top it all off as the manager walked around to each table asking if they enjoyed their dinner, he conveniently did not ask us!	staff	2
we complained to our waiter serveral times about this and the stares continued and to top it all off as the manager walked around to each table asking if they enjoyed their dinner, he conveniently did not ask us!	miscellaneous	2
we complained to our waiter serveral times about this and the stares continued and to top it all off as the manager walked around to each table asking if they enjoyed their dinner, he conveniently did not ask us!	food	1
he is a gracious chef who comes to the table and greets the guests.	staff	1
he is a gracious chef who comes to the table and greets the guests.	miscellaneous	2
by dessert, i gave up and sat there hopelessly watching as my rice pudding was snatched away half eaten, only to be replaced immediately with a hefty bill.	food	2
by dessert, i gave up and sat there hopelessly watching as my rice pudding was snatched away half eaten, only to be replaced immediately with a hefty bill.	price	0
the waiter said they mixed it up because there were three similar things on the menu.	staff	0
the waiter said they mixed it up because there were three similar things on the menu.	menu	2
) scores of employees walking around, but no one seems to clear a plate or offer more drinks.	staff	0
) scores of employees walking around, but no one seems to clear a plate or offer more drinks.	food	2
the manager also managed to insult one of my dining partners, even using an expletive to mock his last name when returning his credit card.	staff	0
the manager also managed to insult one of my dining partners, even using an expletive to mock his last name when returning his credit card.	food	2
once we were seated our water order was taken promptly but they never came back with a menu.	miscellaneous	1
once we were seated our water order was taken promptly but they never came back with a menu.	menu	0
the waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly, shouldn't someone have said something to us?	staff	0
the waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly, shouldn't someone have said something to us?	food	2
